question,option_one,option_two,option_three,option_four,answer
गति कितनी है?,4,2,1,5,1
जाति कितनी है?,4,5,2,10,2
"जिन जीवों को मन होता है, उन्हें क्या कहते हैं?",अमनस्क, असंज्ञी, संज्ञी, मनस्वी ,3
जीवों को पहचानने के चिन्ह को क्या कहते हैं?,लिंग,इन्द्रिय,शरीर,नाम ,2
इन्द्रियां कितनी होती हैं?,5,3,2,11,1
जीव के कितने भेद हैं?,1,3,5,2,4
संसारी जीव के कितने भेद हैं?,1,2,3,4,2
बेइन्द्रिय से पंचेन्द्रिय तक के जीवों को क्या कहते हैं?,त्रस,प्राणी,विकलेंद्रिय,सत्व ,1
स्थावर जीवों के कितने भेद हैं?,1,2,5,4,3
मनुष्य को कितनी इन्द्रियां होती हैं ?,2,3,4,5,4
सिध्दशिला कहां है?,पृथ्वी,सिद्धशीला,देवता,तिर्यंच ,2
जैन धर्म में इंद्रिय जनित ज्ञान को क्या कहते हैं?,अवधिज्ञान, केवलज्ञान, श्रुतज्ञान, मतिज्ञान ,4
अंधे व्यक्ति को कितनी इन्द्रियां होती है?,1,2,3,5,4
सबसे आसान पुण्य कौनसा है?,अन्नपुण्य, पानपुण्य, नमस्कारपुण्य,लयनपुण्य,3
"देवों के वस्त्र, आभूषण किस काया के होते हैं?", पृथ्वीकाय,अपकाय,तेऊकाय,वनस्पतिकाय ,1
जिसके संयोग से जीव जीता है वह क्या है?,पर्याप्ती,प्राण,आत्मा,शरीर ,2
तिर्यञ्च कितने लोक में व्याप्त है?,अधोलोक,मध्यलोक,ऊर्ध्वलोक, तीनों लोक ,4
मनुष्य कितने द्वीप रहते हैं?,1.5,2.5,2,3,2
देव और नारकी जीवों को कितनी इन्द्रियां होती हैं?,1,2,5,3,3
एक शरीर में अनंत जीव किस वनस्पति में होते हैं?,सूक्ष्म,प्रत्येक,कंद,साधारण ,4
नमक की एक डली में कितने जीव होते हैं?,असंख्यात,संख्यात,अनंत,बहुत ,1
किस काय की रक्षा करना मुश्किल है?, पृथ्वीकाय,वायुकाय,तेऊकाय,वनस्पतिकाय,2
कौनसी इन्द्रिय दो काम करती है?,स्पर्शेन्द्रिय, घ्राणेन्द्रिय, रसनेन्द्रिय, श्रोत्रेन्द्रिय,3
किस इन्द्रिय से हम अच्छी बातें सुन सकते हैं?,स्पर्शेन्द्रिय, घ्राणेन्द्रिय, रसनेन्द्रिय, श्रोत्रेन्द्रिय,4
एकेन्द्रिय जीव को कौनसी इन्द्रिय होती है?,स्पर्शेन्द्रिय, घ्राणेन्द्रिय, रसनेन्द्रिय, श्रोत्रेन्द्रिय,1
मनुष्य का शरीर कौनसा हैं?,वैक्रिय, औदारिक, कार्मण, आहारक ,2
जीव का दूसरा नाम क्या है?,संसारी, सजीव, आत्मा, चैतन्य,3
घडी त्रस है या स्थावर?,त्रस, स्थावर, सजीव, अजीव ,4
चलती हुई गाड़ी सजीव है या निर्जीव?,पृथ्वीकाय, अपकाय, तेऊकाय, वह अजीव है ,4
बहता हुआ पानी त्रस है या स्थावर?,त्रस, स्थावर,विकलेन्द्रिय, अजीव,2
कौनसा द्रव्य जीव और पुद्गल को स्थान देता है?,धर्मास्तिकाय,अधर्मास्तिकाय,काल,आकाशास्तिकाय,4
पर्यावरण को शुद्ध बनाने वाली काया कौनसी?,पृथ्वीकाय, वनस्पतीकाय, अपकाय, तेऊकाय,2
श्रावक के व्रत कितने हैं?,पाँच, ग्यारह, बारह, एक,3
लेश्या कितनी है?,6,3,2,5,1
पांच इन्द्रियों के विषय कितने हैं?,108,23,10,240,2
जैन दर्शन के मान्य तत्त्व कितने हैं?,2,7,9,1,3
जैन दर्शन में कितने द्रव्य माने गए हैं?,1,2,4,6,4
ज्ञानावरणीय कर्म के कितने भेद हैं?,9,5,2,28,2
गुणस्थान कितने हैं?,14,12,10,15,1
किस गुणस्थान में सम्यक्त्व की प्राप्ति होती है?,मिथ्यात्व, सिद्धि , सम्यक्त्व,मुक्ती,3
लोक के कितने भेद हैं?,1,3,2,4,2
कर्मों का आत्मा के साथ दूध पानी की तरह मिलना क्या है?,आश्रव, निर्जरा, मोक्ष, बंध,4
आते हुए कर्मों का रुक जाना कौनसा तत्व है?,आश्रव, संवर, निर्जरा, बंध,2
कर्मों का आत्मा से अलग होना कौनसा तत्त्व है?,आश्रव, संवर, निर्जरा, बंध,3
जिनमें मोक्ष जाने की योग्यता है उन्हें क्या कहते हैं?,अभवी, भवी, जातीभवी, नोभवी,2
जम्बूद्वीप के मध्य में क्या है?,भरतक्षेत्र, ऐरावतक्षेत्र, महाविदेहक्षेत्र, मेरुपर्वत,4
मध्यलोक में कितने द्वीप- समुद्र हैं ?,संख्यात, असंख्यात, अनंत, बहुत ,2
"आर्तध्यान, रौद्रध्यान कैसे ध्यान है?",अशुभ, शुभ, गलत, सही,1
जीव राशि के कुल कितने भेद हैं?,560,563,14,530,2
लाल रंग किस इन्द्रिय का विषय है?,श्रोत्रेन्द्रिय, चक्षुन्द्रिय, रसनेन्द्रिय,घ्राणेन्द्रिय,2
उपयोग कितने है?,5,4,9,12,4
आठ कर्म में किसको जीतना कठिन है?,मोहनीय, आयु, कर्म, अंतराय,1
पांच इन्द्रियों में से किसको जीतना कठिन है?,श्रोत्रेन्द्रिय, चक्षुन्द्रिय, रसनेन्द्रिय,घ्राणेन्द्रिय,3
तीन योग में किसको जीतना कठिन है?,तीनों, वचन, काय, मन,4
कैमरे का काम करने वाला शरीर कौनसा?,औदारिक, कार्मण, वैक्रिय, तेजस,2
१४ पूर्वधारी मुनि को कौनसा शरीर प्राप्त होता है?,औदारिक, कार्मण, आहारक, तेजस,3
आहार पचाने वाला शरीर कौनसा?,औदारिक, कार्मण, आहारक, तेजस,4
आत्मा का अंतिम स्टेशन कौनसा?,घर, मोक्ष, श्मशान, स्वर्ग,2
वस्तु के सामान्य स्वरूप को जानना क्या है?,ज्ञान, दर्शन, अवबोध, समझ,2
वस्तु के विशेष स्वरूप को जानना क्या है?,ज्ञान, दर्शन, अवबोध, समझ,1
मच्छर की जाति कौनसी है?,एकेन्द्रिय, बेइन्द्रिय, चौरेन्द्रिय, पंचेन्द्रिय,3
जीव की गति में सहायक द्रव्य कौनसा है?,अधर्मास्तिकाय, धर्मास्तिकाय, पुद्गलास्तिकाय, जीवास्तिकाय,2
आत्मा और कर्म को कौन चिपकाते है?,लेश्या, दण्ड, मिथ्यात्व, कषाय,1
कीडी में कितनी इन्द्रियां होती हैं?,1,2,3,4,3
काकडी की गति कौनसी है?,नरक, तिर्यंच, देव, मनुष्य ,2
हीरे की काया कौनसी है?,अपकाय, तेऊकाय, वायुकाय, पृथ्वीकाय,4
पर्याप्ति कितनी हैं?,2,3,6,5,3
सिध्दशिला कितने योजन की है?,१ लाख , ४५ लाख, १२ लाख , ४ लाख ,2
किस गति से मोक्ष में जा सकते हैं?,नरक, तिर्यंच, मनुष्य, देव,3
पांचों जातियां किस गति में होती हैं?,नरक, तिर्यंच, मनुष्य, देव,2
देवता और नारकी का शरीर कौनसा?,औदारिक, वैक्रिय, आहारक, तेजस,2
सिद्ध भगवान के पास कौनसा ज्ञान होता है?,मतीज्ञान, श्रुतज्ञान, अवधिज्ञान, केवलज्ञान,4